"Date","Price","Open","High","Low","Vol.","Change %"
"29-05-2024","54,974.25","54,920.70","55,254.70","54,918.25","24.35M","-0.54%"
"28-05-2024","55,271.95","55,328.70","55,461.30","55,136.55","28.04M","0.02%"
"27-05-2024","55,260.50","55,649.60","55,708.70","55,194.55","26.85M","-0.34%"
"24-05-2024","55,449.15","55,847.25","55,894.55","55,369.55","26.67M","-0.80%"
"23-05-2024","55,899.00","55,925.30","56,062.00","55,400.60","41.69M","0.26%"
"22-05-2024","55,753.90","55,154.90","55,898.45","55,067.80","29.72M","1.43%"
"21-05-2024","54,969.25","54,998.65","55,139.55","54,764.55","23.38M","-0.45%"
"18-05-2024","55,217.85","55,212.10","55,278.50","55,114.05","1.92B","0.28%"
"17-05-2024","55,064.70","55,094.95","55,136.60","54,735.45","22.05M","0.12%"
"16-05-2024","54,997.00","54,757.30","55,066.20","54,159.35","40.65M","0.81%"
"15-05-2024","54,555.95","55,172.00","55,292.35","54,507.70","20.11M","-0.91%"
"14-05-2024","55,054.30","55,320.35","55,504.45","55,011.75","31.38M","-0.52%"
"13-05-2024","55,340.70","55,386.95","55,525.90","54,816.85","26.27M","0.12%"
"10-05-2024","55,276.50","54,739.25","55,407.10","54,601.75","27.39M","1.19%"
"09-05-2024","54,625.10","55,924.60","56,020.35","54,533.45","44.74M","-2.47%"
"08-05-2024","56,008.80","55,704.30","56,124.30","55,569.70","36.61M","0.44%"
"07-05-2024","55,765.55","54,942.60","56,222.75","54,855.80","102.91M","2.02%"
"06-05-2024","54,660.15","54,544.15","54,697.70","54,149.50","29.30M","0.71%"
"03-05-2024","54,273.90","54,688.85","54,702.55","53,913.30","44.05M","-0.40%"
"02-05-2024","54,490.55","54,155.15","54,757.35","54,154.90","44.67M","0.46%"
"30-04-2024","54,240.60","54,519.50","54,670.30","54,181.95","28.59M","-0.17%"
"29-04-2024","54,332.15","54,527.15","54,557.25","54,125.50","30.27M","0.06%"
"26-04-2024","54,300.75","54,441.50","54,601.60","54,119.75","30.68M","0.02%"
"25-04-2024","54,291.65","53,998.45","54,358.20","53,642.05","52.25M","0.67%"
"24-04-2024","53,932.50","53,755.35","54,033.95","53,731.60","24.78M","0.05%"
"23-04-2024","53,905.30","53,622.00","54,037.95","53,523.45","25.50M","0.76%"
"22-04-2024","53,499.45","53,318.90","53,594.60","53,128.20","25.56M","0.84%"
"19-04-2024","53,055.45","52,530.00","53,229.75","52,398.75","31.57M","0.44%"
"18-04-2024","52,825.50","53,482.90","53,571.75","52,719.70","43.13M","-1.08%"
"16-04-2024","53,402.25","52,996.55","53,526.75","52,937.25","26.63M","0.43%"
"15-04-2024","53,174.95","53,299.05","53,475.15","52,778.75","29.86M","-0.98%"
"12-04-2024","53,701.40","54,244.45","54,275.60","53,653.45","39.45M","-1.09%"
"10-04-2024","54,290.90","53,869.60","54,370.50","53,601.35","31.59M","1.23%"
"09-04-2024","53,629.35","54,081.10","54,091.35","53,552.65","19.29M","-0.62%"
"08-04-2024","53,966.05","54,100.25","54,228.90","53,902.45","25.91M","0.07%"
"05-04-2024","53,925.95","53,718.20","54,094.50","53,569.65","36.33M","0.54%"
"04-04-2024","53,634.45","54,072.95","54,116.00","53,502.90","42.31M","-0.43%"
"03-04-2024","53,866.70","54,056.20","54,101.60","53,522.90","26.52M","-0.43%"
"02-04-2024","54,096.95","54,141.65","54,141.65","53,823.55","22.41M","0.39%"
"01-04-2024","53,889.15","54,078.20","54,369.10","53,828.10","20.99M","-0.11%"
"28-03-2024","53,949.20","53,683.20","54,251.00","53,534.45","50.78M","0.76%"
"27-03-2024","53,543.55","53,737.95","53,819.95","53,491.10","26.29M","-0.27%"
"26-03-2024","53,687.70","53,325.40","53,784.00","53,325.10","26.17M","-0.16%"
"22-03-2024","53,775.70","53,312.90","53,849.60","53,305.05","52.65M","0.82%"
"21-03-2024","53,338.35","53,210.60","53,423.60","52,967.55","32.89M","0.65%"
"20-03-2024","52,993.50","52,726.50","53,033.70","52,562.60","32.05M","0.48%"
"19-03-2024","52,740.90","53,859.55","53,915.10","52,626.95","38.47M","-2.16%"
"18-03-2024","53,907.85","54,144.30","54,189.10","53,805.85","26.84M","-0.46%"
"15-03-2024","54,155.45","54,013.95","54,464.95","53,886.70","91.16M","0.02%"
"14-03-2024","54,145.80","53,504.40","54,252.45","53,280.20","45.47M","0.90%"
"13-03-2024","53,664.15","54,844.50","54,962.50","53,470.25","120.62M","0.05%"
"12-03-2024","53,636.10","53,944.05","53,950.25","53,382.35","43.93M","-0.83%"
"11-03-2024","54,087.45","54,570.85","54,628.60","53,970.25","32.04M","-0.59%"
"07-03-2024","54,406.30","53,914.00","54,461.05","53,637.10","36.09M","0.98%"
"06-03-2024","53,879.60","53,657.35","53,946.90","53,171.75","23.24M","0.42%"
"05-03-2024","53,653.10","54,224.55","54,364.95","53,580.10","24.11M","-1.05%"
"04-03-2024","54,221.75","54,492.85","54,588.55","54,102.55","17.20M","-0.45%"
"02-03-2024","54,466.10","54,363.70","54,567.10","54,360.70","1.68K","0.44%"
"01-03-2024","54,225.15","54,272.85","54,559.65","54,062.60","24.53M","0.39%"
"29-02-2024","54,015.60","53,836.75","54,113.30","53,453.50","37.65M","0.35%"
"28-02-2024","53,824.90","54,406.30","54,439.15","53,742.65","27.64M","-0.89%"
"27-02-2024","54,306.45","54,342.80","54,456.65","54,128.40","23.59M","-0.02%"
"26-02-2024","54,317.30","54,312.60","54,433.25","54,074.55","16.99M","-0.04%"
"23-02-2024","54,337.75","54,528.50","54,561.55","54,268.75","21.00M","-0.15%"
"22-02-2024","54,419.20","54,189.30","54,479.80","53,581.80","28.95M","0.98%"
"21-02-2024","53,892.35","53,975.55","54,226.85","53,651.25","32.96M","0.02%"
"20-02-2024","53,882.50","53,981.40","54,027.15","53,552.55","22.96M","-0.11%"
"19-02-2024","53,943.30","53,645.55","54,121.60","53,576.00","25.25M","0.79%"
"16-02-2024","53,518.60","53,465.00","53,643.90","53,186.70","49.08M","0.37%"
"15-02-2024","53,321.35","53,902.00","53,997.65","53,265.40","33.02M","-0.96%"
"14-02-2024","53,839.05","53,224.35","53,951.70","53,138.40","22.17M","0.76%"
"13-02-2024","53,432.05","53,345.40","53,534.80","53,232.65","23.52M","0.26%"
"12-02-2024","53,292.95","54,005.55","54,036.00","53,231.50","19.33M","-1.07%"
"09-02-2024","53,867.10","53,536.85","54,007.80","53,452.75","44.05M","0.41%"
"08-02-2024","53,646.20","54,774.60","54,775.60","53,317.25","63.22M","-2.06%"
"07-02-2024","54,772.60","55,041.35","55,041.35","54,523.10","24.56M","0.30%"
"06-02-2024","54,608.80","54,860.15","54,956.70","54,372.60","31.96M","-0.16%"
"05-02-2024","54,698.40","55,340.40","55,387.90","54,590.60","26.68M","-0.76%"
"02-02-2024","55,118.40","55,347.40","55,557.50","54,992.90","31.91M","-0.18%"
"01-02-2024","55,215.80","55,205.85","55,792.00","55,114.20","54.91M","0.26%"
"31-01-2024","55,071.40","54,634.25","55,124.95","54,501.35","37.30M","0.91%"
"30-01-2024","54,574.35","55,187.20","55,501.40","54,507.40","57.49M","-1.02%"
"29-01-2024","55,139.10","55,058.15","55,470.50","55,047.70","32.14M","-0.14%"
"25-01-2024","55,214.10","55,932.30","55,981.60","54,981.05","33.77M","-1.15%"
"24-01-2024","55,858.70","55,130.30","55,918.60","54,859.90","36.48M","1.61%"
"23-01-2024","54,973.90","56,212.70","56,284.40","54,816.10","25.87M","-1.79%"
"20-01-2024","55,973.35","56,630.60","56,644.80","55,938.05","","-1.18%"
"19-01-2024","56,640.50","56,296.30","56,813.95","56,085.30","25.10M","1.23%"
"18-01-2024","55,953.60","56,175.60","56,228.20","55,206.70","22.18M","-0.54%"
"17-01-2024","56,259.50","56,477.65","56,839.60","56,191.70","25.64M","-0.87%"
"16-01-2024","56,755.85","56,705.20","56,872.50","56,425.05","24.73M","0.17%"
"15-01-2024","56,657.30","56,795.40","56,818.60","56,317.45","21.00M","0.30%"
